Stratégie,Recall (Défaut),F1-Score (Défaut),AUC-ROC
Baseline,0.0008430281571404484,0.0016753224995811693,0.7240746411478893
SMOTE,0.9129994941831057,0.25404048696957615,0.7250970548795737
Sous-échant.,0.6742539200809307,0.3190776350434852,0.7238037567907525
SMOTETomek,0.9114820435002529,0.2543102434434905,0.7249749793075332
